//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903742
//Univ. of Washington ID: 6960
//MBARI ID: 6960ETNP
//No missing float profiles
//Missing Float data detected for adjusted station(s): 51 52 55 69 72 75 76 98 100 108 138 155 167 177 180 186 195 198 211 212 218 219 222 225 245 247 264 265 266 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2819	
//Temperature[°C]	Sbe41cp	2819	
//Salinity[pss]	Sbe41cp	2819	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1283	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5467 Spec#035 Equitech probe #2009.0827R10.11 Float#7016 Southern Ocean	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0800	0.0000	0.0000
//Nitrate	1	1.0600	-0.8570	0.0000
//Nitrate	2	1.0600	-0.8570	10.5061
//Nitrate	13	1.0600	0.1502	1.1568
//Nitrate	75	1.0600	2.0433	0.9242
//Nitrate	129	1.0600	2.2403	0.8802
//Nitrate	258	1.0600	2.8154	32.8567
//Nitrate	264	1.0600	5.0545	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	951.22	0	4.7023	0	34.5228	0	27.339	0	943.499	0	17.18	0	5.5	0	43.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	900.80	0	4.9445	0	34.5165	0	27.307	0	893.596	0	12.93	0	4.2	0	43.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	850.79	0	5.1402	0	34.5116	0	27.280	0	844.087	0	9.88	0	3.2	0	43.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	801.42	0	5.3799	0	34.5057	0	27.247	0	795.199	0	9.14	0	3.0	0	42.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	750.74	0	5.6512	0	34.5005	0	27.210	0	745.003	0	8.16	0	2.7	0	41.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	700.95	0	5.9473	0	34.4997	0	27.172	0	695.677	0	5.92	0	2.0	0	40.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	651.74	0	6.3275	0	34.4927	0	27.118	0	646.913	0	4.73	0	1.6	0	39.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	600.63	0	6.7423	0	34.4898	0	27.060	0	596.255	0	5.15	0	1.7	0	38.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	551.73	0	7.3380	0	34.5008	0	26.986	0	547.775	0	5.48	0	1.9	0	37.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	501.38	0	7.9989	0	34.5293	0	26.912	0	497.847	0	3.12	0	1.1	0	35.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	451.02	0	8.4689	0	34.5458	0	26.854	0	447.896	0	2.79	0	1.0	0	34.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	399.12	0	9.1782	0	34.5766	0	26.765	0	396.405	0	2.05	0	0.7	0	32.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	380.81	0	9.4051	0	34.5893	0	26.738	0	378.236	0	1.41	0	0.5	0	31.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	360.79	0	9.5821	0	34.5909	0	26.710	0	358.369	0	1.34	0	0.5	0	30.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	351.46	0	9.6501	0	34.5921	0	26.699	0	349.109	0	1.27	0	0.5	0	30.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	340.61	0	9.7963	0	34.5989	0	26.680	0	338.341	0	1.32	0	0.5	0	29.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	331.35	0	9.9174	0	34.6012	0	26.661	0	329.150	0	1.23	0	0.4	0	29.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	320.85	0	10.0069	0	34.6081	0	26.652	0	318.727	0	1.14	0	0.4	0	29.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	310.67	0	10.1002	0	34.6096	0	26.637	0	308.622	0	1.07	0	0.4	0	29.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	300.77	0	10.2548	0	34.6143	0	26.614	0	298.795	0	1.16	0	0.4	0	28.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	291.03	0	10.3791	0	34.6183	0	26.595	0	289.126	0	1.16	0	0.4	0	27.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	280.47	0	10.4486	0	34.6194	0	26.584	0	278.642	0	1.12	0	0.4	0	26.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	270.57	0	10.5760	0	34.6273	0	26.567	0	268.813	0	1.07	0	0.4	0	26.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	261.58	0	10.6439	0	34.6312	0	26.558	0	259.887	0	1.00	0	0.4	0	26.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	251.47	0	10.7672	0	34.6345	0	26.539	0	249.848	0	1.20	0	0.4	0	25.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	241.68	0	10.9253	0	34.6393	0	26.514	0	240.127	0	1.34	0	0.5	0	25.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	231.58	0	11.0858	0	34.6452	0	26.489	0	230.098	0	1.45	0	0.5	0	25.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	220.81	0	11.2242	0	34.6497	0	26.467	0	219.402	0	1.54	0	0.6	0	25.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	211.17	0	11.4503	0	34.6499	0	26.426	0	209.829	0	1.99	0	0.7	0	24.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	201.04	0	11.7452	0	34.6848	0	26.398	0	199.768	0	1.32	0	0.5	0	23.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	191.52	0	11.8841	0	34.6913	0	26.377	0	190.312	0	0.80	0	0.3	0	22.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	181.08	0	12.1155	0	34.7052	0	26.343	0	179.943	0	0.57	0	0.2	0	21.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	171.46	0	12.1842	0	34.6419	0	26.281	0	170.387	0	2.22	0	0.8	0	23.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	160.95	0	12.7133	0	34.6946	0	26.218	0	159.947	0	2.07	0	0.8	0	21.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	151.61	0	13.0196	0	34.6950	0	26.157	0	150.669	0	0.73	0	0.3	0	21.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	140.61	0	13.2175	0	34.6156	0	26.056	0	139.741	0	4.61	0	1.8	0	22.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	130.99	0	13.7563	0	34.6252	0	25.953	0	130.183	0	4.10	0	1.6	0	23.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	121.42	0	14.1929	0	34.5499	0	25.803	0	120.675	0	4.12	0	1.6	0	23.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	111.49	0	14.6660	0	34.1611	0	25.402	0	110.809	0	68.59	0	27.3	0	17.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	101.90	0	15.4171	0	34.1567	0	25.234	0	101.279	0	80.34	0	32.5	0	15.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	96.79	0	17.0215	0	33.9981	0	24.745	0	96.202	0	142.31	0	59.3	0	6.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	91.63	0	18.5800	0	34.0802	0	24.429	0	91.074	0	176.39	0	75.7	0	2.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	86.47	0	18.9706	0	34.1204	0	24.361	0	85.947	0	180.24	0	78.0	0	2.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	81.45	0	19.9979	0	34.2386	0	24.187	0	80.958	0	183.86	0	81.1	0	1.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	76.65	0	20.5626	0	34.3218	0	24.101	0	76.188	0	194.30	0	86.6	0	0.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	71.79	0	21.5790	0	34.4378	0	23.913	0	71.358	0	199.09	0	90.5	0	-0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	66.69	0	22.1444	0	34.5294	0	23.825	0	66.290	0	206.45	0	94.8	0	-0.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	61.45	0	22.3738	0	34.5510	0	23.777	0	61.082	0	210.06	0	96.9	0	-0.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	56.54	0	22.4514	0	34.5534	0	23.756	0	56.202	0	210.35	0	97.1	0	-0.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	51.65	0	22.4925	0	34.5567	0	23.747	0	51.342	0	212.25	0	98.1	0	-0.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	46.56	0	22.5428	0	34.5623	0	23.737	0	46.283	0	213.94	0	98.9	0	-0.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	41.09	0	22.5622	0	34.5645	0	23.732	0	40.846	0	216.38	0	100.1	0	-0.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	36.29	0	22.5918	0	34.5642	0	23.723	0	36.075	0	217.55	0	100.7	0	-0.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	31.82	0	22.5932	0	34.5641	0	23.723	0	31.632	0	218.21	0	101.0	0	-0.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	26.55	0	22.6385	0	34.5640	0	23.709	0	26.393	0	218.74	0	101.3	0	-0.55	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	21.84	0	22.7432	0	34.5525	0	23.671	0	21.711	0	218.88	0	101.6	0	-0.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	16.88	0	23.2854	0	34.5156	0	23.486	0	16.781	0	216.76	0	101.5	0	-0.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	11.59	0	23.2907	0	34.5149	0	23.484	0	11.522	0	217.03	0	101.6	0	-0.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0	7.70	0	23.3156	0	34.5131	0	23.475	0	7.655	0	217.19	0	101.8	0	-0.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	1	C	03/26/2012	17:53	236.886	14.976	0																										
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	999.13	0	4.3271	0	34.5340	0	27.389	0	990.911	0	22.66	0	7.2	0	44.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	951.41	0	4.5032	0	34.5273	0	27.365	0	943.691	0	19.57	0	6.3	0	44.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	901.04	0	4.7716	0	34.5217	0	27.330	0	893.837	0	17.10	0	5.5	0	44.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	851.21	0	5.0410	0	34.5141	0	27.294	0	844.506	0	11.36	0	3.7	0	43.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	800.67	0	5.3289	0	34.5075	0	27.254	0	794.460	0	8.85	0	2.9	0	43.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	750.71	0	5.6224	0	34.5014	0	27.214	0	744.977	0	8.26	0	2.7	0	42.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	701.56	0	5.9431	0	34.4991	0	27.172	0	696.284	0	6.49	0	2.2	0	41.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	650.90	0	6.2700	0	34.4956	0	27.127	0	646.083	0	5.01	0	1.7	0	40.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	601.10	0	6.6771	0	34.4922	0	27.071	0	596.723	0	6.30	0	2.1	0	39.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	551.50	0	7.1222	0	34.4969	0	27.013	0	547.550	0	5.86	0	2.0	0	37.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	501.50	0	7.7062	0	34.5201	0	26.948	0	497.968	0	4.23	0	1.5	0	36.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	451.29	0	8.3853	0	34.5459	0	26.866	0	448.165	0	2.69	0	0.9	0	35.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	401.55	0	8.9253	0	34.5548	0	26.789	0	398.818	0	3.12	0	1.1	0	33.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	380.53	0	9.1057	0	34.5574	0	26.762	0	377.960	0	2.88	0	1.0	0	33.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	361.06	0	9.3612	0	34.5683	0	26.729	0	358.638	0	2.42	0	0.9	0	32.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	351.56	0	9.4761	0	34.5742	0	26.714	0	349.210	0	2.08	0	0.7	0	31.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	341.52	0	9.5110	0	34.5774	0	26.711	0	339.245	0	1.93	0	0.7	0	31.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	330.39	0	9.6393	0	34.5837	0	26.694	0	328.198	0	1.76	0	0.6	0	31.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	320.76	0	9.7293	0	34.5871	0	26.682	0	318.639	0	1.58	0	0.6	0	30.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	311.43	0	9.9044	0	34.6002	0	26.662	0	309.378	0	1.37	0	0.5	0	30.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	301.07	0	10.0468	0	34.6105	0	26.646	0	299.094	0	1.13	0	0.4	0	29.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	291.60	0	10.1447	0	34.6160	0	26.634	0	289.693	0	1.03	0	0.4	0	28.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	281.39	0	10.2206	0	34.6221	0	26.625	0	279.556	0	0.89	0	0.3	0	28.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	271.39	0	10.2809	0	34.6136	0	26.608	0	269.628	0	1.13	0	0.4	0	28.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	261.31	0	10.4143	0	34.6206	0	26.590	0	259.620	0	1.23	0	0.5	0	27.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	251.70	0	10.5556	0	34.6285	0	26.571	0	250.078	0	1.12	0	0.4	0	26.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	241.62	0	10.7200	0	34.6332	0	26.546	0	240.068	0	1.11	0	0.4	0	26.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	228.83	0	10.9622	0	34.6408	0	26.508	0	227.368	0	1.31	0	0.5	0	25.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	221.61	0	11.0649	0	34.6457	0	26.493	0	220.198	0	1.51	0	0.6	0	25.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	211.40	0	11.2835	0	34.6552	0	26.461	0	210.058	0	1.66	0	0.6	0	25.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	201.17	0	11.3650	0	34.6475	0	26.440	0	199.898	0	1.97	0	0.7	0	25.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	191.48	0	11.6150	0	34.6608	0	26.403	0	190.274	0	2.00	0	0.8	0	24.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	181.31	0	11.8505	0	34.6629	0	26.361	0	180.172	0	2.34	0	0.9	0	23.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	171.64	0	12.1649	0	34.6733	0	26.309	0	170.567	0	1.63	0	0.6	0	23.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	161.71	0	12.0814	0	34.5611	0	26.237	0	160.703	0	8.78	0	3.3	0	24.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	151.07	0	13.1857	0	34.6360	0	26.078	0	150.133	0	6.87	0	2.7	0	22.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	140.95	0	13.9776	0	34.6014	0	25.889	0	140.079	0	7.07	0	2.8	0	23.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	130.58	0	14.3109	0	34.5741	0	25.797	0	129.776	0	3.04	0	1.2	0	23.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	121.58	0	14.7236	0	34.5310	0	25.675	0	120.834	0	4.36	0	1.7	0	23.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	111.42	0	15.3318	0	34.4399	0	25.472	0	110.739	0	10.03	0	4.1	0	23.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	101.02	0	16.4461	0	34.1011	0	24.959	0	100.405	0	93.82	0	38.7	0	10.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	96.65	0	16.6171	0	34.0542	0	24.883	0	96.063	0	100.40	0	41.5	0	10.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	91.88	0	16.7834	0	34.0863	0	24.868	0	91.323	0	108.88	0	45.2	0	10.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	86.91	0	18.3084	0	34.0772	0	24.494	0	86.384	0	140.18	0	59.9	0	3.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	81.51	0	20.1585	0	34.2802	0	24.176	0	81.018	0	192.43	0	85.2	0	1.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	76.78	0	20.9438	0	34.3782	0	24.041	0	76.317	0	197.03	0	88.5	0	0.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	71.80	0	21.9390	0	34.5077	0	23.866	0	71.368	0	204.90	0	93.7	0	0.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903742	2	C	03/31/2012	22:11	236.774	14.885	0	66.30	0	22.3405	0	34.5630	0	23.795	0	65.902	0	211.16	0	97.3	0	0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
