//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:46
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904107
//Univ. of Washington ID: 7618
//MBARI ID: 7618CALCURRENT
//No missing float profiles
//Missing Float position interpolated for station(s): 14 251 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 290 291 292 293 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3599	
//Temperature[°C]	Sbe41cp	3599	
//Salinity[pss]	Sbe41cp	3599	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1321	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G1.C01.6421 Spec#055 Equitech probe #2012.0110R10.03 MBARI ARGO float#7036	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1325	0.0000	0.0000
//Nitrate	1	1.0000	-0.9870	0.0000
//Nitrate	2	1.0000	-0.9870	2.4701
//Nitrate	38	1.0000	-0.2092	0.0000
//Nitrate	153	1.0000	-1.3544	0.0000
//Nitrate	190	1.0000	-0.6899	0.6096
//Nitrate	263	1.0000	0.2578	-1.9355
//Nitrate	290	1.0000	-0.6876	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	951.25	0	3.9320	0	34.4364	0	27.352	0	942.470	0	6.72	0	2.1	0	43.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	900.82	0	4.0714	0	34.4176	0	27.323	0	892.613	0	5.39	0	1.7	0	44.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	851.15	0	4.2289	0	34.3996	0	27.292	0	843.496	0	4.01	0	1.3	0	43.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	801.58	0	4.3999	0	34.3705	0	27.250	0	794.466	0	2.66	0	0.8	0	43.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	750.91	0	4.5859	0	34.3388	0	27.204	0	744.336	0	2.08	0	0.7	0	43.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	701.32	0	4.8466	0	34.3122	0	27.154	0	695.263	0	2.25	0	0.7	0	42.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	651.50	0	5.1658	0	34.2748	0	27.087	0	645.950	0	3.37	0	1.1	0	41.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	600.67	0	5.3380	0	34.2331	0	27.034	0	595.626	0	5.65	0	1.8	0	40.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	550.73	0	5.6812	0	34.1982	0	26.965	0	546.171	0	10.18	0	3.3	0	39.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	500.63	0	5.9842	0	34.1552	0	26.893	0	496.545	0	17.93	0	5.9	0	38.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	451.38	0	6.2055	0	34.1217	0	26.838	0	447.750	0	26.96	0	9.0	0	37.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	401.47	0	6.6518	0	34.0807	0	26.747	0	398.289	0	38.73	0	13.0	0	36.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	380.86	0	6.8706	0	34.0619	0	26.702	0	377.861	0	51.57	0	17.4	0	34.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	361.44	0	6.9851	0	34.0463	0	26.674	0	358.611	0	58.90	0	19.9	0	34.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	350.75	0	7.0478	0	34.0355	0	26.657	0	348.014	0	64.61	0	21.9	0	33.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	341.59	0	7.1104	0	34.0202	0	26.636	0	338.933	0	70.42	0	23.9	0	32.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	331.69	0	7.2191	0	34.0173	0	26.619	0	329.118	0	77.51	0	26.4	0	31.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	321.51	0	7.5035	0	34.0200	0	26.581	0	319.024	0	81.43	0	27.9	0	31.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	310.96	0	7.5059	0	34.0060	0	26.570	0	308.564	0	85.97	0	29.4	0	30.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	301.76	0	7.7086	0	34.0003	0	26.536	0	299.441	0	90.74	0	31.2	0	29.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	291.50	0	7.9843	0	34.0014	0	26.496	0	289.267	0	93.43	0	32.3	0	28.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	280.20	0	8.1205	0	33.9848	0	26.463	0	278.061	0	102.37	0	35.5	0	27.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	271.31	0	8.2333	0	33.9714	0	26.436	0	269.245	0	108.67	0	37.8	0	27.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	261.27	0	8.3140	0	33.9620	0	26.416	0	259.288	0	112.88	0	39.3	0	26.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	250.87	0	8.4395	0	33.9403	0	26.380	0	248.973	0	117.65	0	41.1	0	25.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	241.03	0	8.5958	0	33.9159	0	26.337	0	239.213	0	127.16	0	44.6	0	25.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	231.48	0	8.7420	0	33.8719	0	26.279	0	229.740	0	125.98	0	44.3	0	24.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	221.64	0	8.8649	0	33.8381	0	26.234	0	219.979	0	131.92	0	46.5	0	24.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	211.13	0	9.0221	0	33.7911	0	26.172	0	209.554	0	135.98	0	48.1	0	22.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	200.92	0	9.3448	0	33.6805	0	26.034	0	199.425	0	148.81	0	52.9	0	20.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	191.03	0	9.4052	0	33.6604	0	26.008	0	189.613	0	154.31	0	54.9	0	20.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	179.02	0	9.8677	0	33.5261	0	25.827	0	177.697	0	172.01	0	61.8	0	16.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	171.32	0	10.2296	0	33.4481	0	25.705	0	170.057	0	179.77	0	65.1	0	13.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	161.44	0	10.4945	0	33.4100	0	25.630	0	160.254	0	191.95	0	69.8	0	12.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	150.94	0	10.8753	0	33.3227	0	25.495	0	149.835	0	202.85	0	74.4	0	9.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	141.52	0	11.2742	0	33.2572	0	25.373	0	140.487	0	211.07	0	78.0	0	7.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	131.46	0	11.7203	0	33.2306	0	25.271	0	130.504	0	224.45	0	83.7	0	5.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	121.15	0	12.2856	0	33.2034	0	25.143	0	120.272	0	235.79	0	89.0	0	3.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	111.13	0	12.7257	0	33.1686	0	25.032	0	110.327	0	242.89	0	92.5	0	1.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	101.62	0	13.1688	0	33.1907	0	24.961	0	100.888	0	249.76	0	96.0	0	0.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	96.40	0	13.4564	0	33.2137	0	24.921	0	95.707	0	252.83	0	97.7	0	0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	91.55	0	13.6917	0	33.2078	0	24.869	0	90.893	0	255.49	0	99.2	0	-0.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	86.78	0	13.9314	0	33.2115	0	24.823	0	86.158	0	256.42	0	100.1	0	-0.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	81.52	0	14.2383	0	33.2379	0	24.779	0	80.937	0	257.50	0	101.1	0	0.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	76.85	0	14.6872	0	33.2584	0	24.700	0	76.301	0	256.55	0	101.7	0	0.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	71.82	0	15.2590	0	33.2666	0	24.583	0	71.308	0	254.23	0	101.9	0	0.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	66.77	0	15.4909	0	33.2606	0	24.527	0	66.295	0	253.41	0	102.0	0	0.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	61.52	0	15.7434	0	33.2464	0	24.460	0	61.083	0	252.20	0	102.0	0	-0.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	56.50	0	15.7661	0	33.2199	0	24.434	0	56.099	0	252.62	0	102.2	0	-0.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	51.72	0	16.0219	0	33.2636	0	24.410	0	51.354	0	251.72	0	102.4	0	-0.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	46.77	0	16.0348	0	33.2420	0	24.390	0	46.439	0	252.87	0	102.9	0	0.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	41.36	0	16.1171	0	33.2496	0	24.377	0	41.068	0	253.08	0	103.1	0	-0.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	36.61	0	16.4121	0	33.2414	0	24.304	0	36.352	0	252.13	0	103.3	0	-0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	31.76	0	16.8448	0	33.2340	0	24.198	0	31.537	0	249.25	0	103.0	0	0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	26.77	0	17.1870	0	33.2439	0	24.125	0	26.582	0	245.58	0	102.1	0	-0.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	21.88	0	17.3438	0	33.2499	0	24.092	0	21.727	0	244.08	0	101.8	0	-0.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	16.36	0	17.4025	0	33.2507	0	24.078	0	16.246	0	243.70	0	101.8	0	-0.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	11.72	0	17.4036	0	33.2513	0	24.078	0	11.638	0	243.85	0	101.9	0	-0.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0	7.44	0	17.4042	0	33.2513	0	24.078	0	7.388	0	244.23	0	102.0	0	0.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	1	C	07/14/2013	14:34	235.813	31.899	0																										
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	999.44	0	3.7956	0	34.4524	0	27.379	0	990.103	0	9.47	0	3.0	0	43.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	950.89	0	3.9473	0	34.4332	0	27.348	0	942.115	0	6.99	0	2.2	0	43.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	901.71	0	4.1320	0	34.4161	0	27.315	0	893.494	0	5.70	0	1.8	0	43.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	851.71	0	4.2807	0	34.3924	0	27.280	0	844.051	0	3.86	0	1.2	0	43.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	798.89	0	4.4610	0	34.3609	0	27.236	0	791.806	0	2.80	0	0.9	0	42.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	751.29	0	4.6440	0	34.3251	0	27.187	0	744.713	0	2.27	0	0.7	0	42.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	700.82	0	4.8908	0	34.2815	0	27.125	0	694.768	0	2.83	0	0.9	0	41.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	651.50	0	5.1524	0	34.2649	0	27.081	0	645.951	0	3.82	0	1.2	0	41.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	601.62	0	5.3651	0	34.2320	0	27.030	0	596.567	0	5.96	0	1.9	0	40.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	551.20	0	5.6640	0	34.1956	0	26.965	0	546.637	0	10.36	0	3.4	0	39.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	501.24	0	5.9076	0	34.1631	0	26.908	0	497.150	0	16.88	0	5.6	0	38.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	451.32	0	6.1996	0	34.1260	0	26.842	0	447.691	0	25.86	0	8.6	0	37.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	401.41	0	6.5775	0	34.0874	0	26.762	0	398.230	0	38.93	0	13.1	0	35.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	380.90	0	6.7043	0	34.0565	0	26.720	0	377.901	0	50.25	0	16.9	0	34.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	361.44	0	6.9571	0	34.0341	0	26.669	0	358.611	0	62.02	0	21.0	0	33.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	351.17	0	7.0378	0	34.0293	0	26.654	0	348.430	0	66.35	0	22.5	0	32.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	340.90	0	7.2577	0	34.0146	0	26.612	0	338.249	0	73.98	0	25.2	0	31.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	331.22	0	7.3606	0	34.0088	0	26.593	0	328.652	0	80.90	0	27.6	0	30.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	321.48	0	7.6006	0	33.9972	0	26.549	0	318.995	0	87.95	0	30.2	0	29.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	310.86	0	7.7213	0	33.9962	0	26.531	0	308.465	0	93.57	0	32.2	0	29.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	301.40	0	7.9126	0	33.9880	0	26.497	0	299.085	0	96.64	0	33.4	0	28.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	291.65	0	8.0543	0	33.9862	0	26.474	0	289.416	0	100.21	0	34.7	0	28.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	281.57	0	8.0746	0	33.9840	0	26.469	0	279.420	0	101.88	0	35.3	0	28.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	270.67	0	8.1202	0	33.9767	0	26.457	0	268.611	0	103.37	0	35.9	0	27.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	261.67	0	8.2907	0	33.9495	0	26.410	0	259.685	0	107.41	0	37.4	0	26.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	250.72	0	8.3495	0	33.9460	0	26.398	0	248.824	0	115.08	0	40.1	0	26.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	241.23	0	8.4417	0	33.9305	0	26.372	0	239.412	0	118.46	0	41.4	0	25.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	231.39	0	8.5670	0	33.9080	0	26.335	0	229.651	0	122.72	0	43.0	0	24.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	221.67	0	8.6694	0	33.8860	0	26.302	0	220.009	0	126.91	0	44.5	0	24.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	211.27	0	8.9441	0	33.8137	0	26.202	0	209.693	0	133.86	0	47.2	0	22.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	201.53	0	9.0131	0	33.7916	0	26.174	0	200.030	0	137.81	0	48.7	0	22.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	191.32	0	9.2793	0	33.7059	0	26.064	0	189.901	0	143.76	0	51.1	0	20.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	181.32	0	9.6816	0	33.5856	0	25.904	0	179.979	0	156.91	0	56.2	0	17.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	169.53	0	9.8512	0	33.5353	0	25.837	0	168.281	0	167.67	0	60.2	0	16.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	161.63	0	10.1334	0	33.4554	0	25.727	0	160.443	0	179.29	0	64.8	0	14.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	151.72	0	10.4996	0	33.3803	0	25.606	0	150.609	0	193.41	0	70.4	0	11.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	140.78	0	10.8410	0	33.3343	0	25.510	0	139.753	0	200.15	0	73.3	0	9.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	131.34	0	11.2646	0	33.3074	0	25.414	0	130.385	0	208.31	0	77.0	0	7.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	121.16	0	11.9433	0	33.2001	0	25.205	0	120.282	0	219.51	0	82.2	0	4.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	111.66	0	12.2955	0	33.1604	0	25.108	0	110.853	0	235.49	0	88.8	0	2.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	101.62	0	13.0109	0	33.1513	0	24.962	0	100.888	0	245.06	0	93.8	0	-0.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	96.88	0	13.0623	0	33.1481	0	24.949	0	96.183	0	249.83	0	95.7	0	-0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	91.81	0	13.2125	0	33.1598	0	24.928	0	91.151	0	251.57	0	96.7	0	-0.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	86.53	0	13.6439	0	33.2014	0	24.874	0	85.910	0	253.19	0	98.2	0	-0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	81.73	0	13.5901	0	33.1775	0	24.866	0	81.145	0	256.91	0	99.5	0	-0.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	76.65	0	13.9851	0	33.1979	0	24.801	0	76.103	0	256.66	0	100.2	0	-0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	71.61	0	14.2009	0	33.2169	0	24.770	0	71.099	0	258.04	0	101.2	0	-0.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904107	2	C	07/19/2013	20:41	235.898	31.887	0	66.84	0	14.6317	0	33.2432	0	24.700	0	66.364	0	257.47	0	101.9	0	-0.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
